UserID;Province;Gender;Race;Age;Channel;Age_Group;Record_Date;Record_Time;Time_Of_Day;Duration_Time;Day_Name;Month_Name
808923;Eastern Cape;male;other;23;SuperSport Blitz;Adult;2016/02/21;20:03:00;Night;01:31:12;Sun;Feb
808923;Eastern Cape;male;other;23;Trace TV;Adult;2016/02/17;20:45:00;Night;01:43:21;Wed;Feb
630977;Gauteng;male;coloured;28;Trace TV;Adult;2016/01/16;11:52:00;Morning;01:30:15;Sat;Jan
850656;Mpumalanga;male;black;26;Africa Magic;Adult;2016/03/05;23:12:00;Night;01:30:16;Sat;Mar
850656;Mpumalanga;male;black;26;Channel O;Adult;2016/03/06;07:25:00;Morning;01:30:00;Sun;Mar
850656;Mpumalanga;male;black;26;Africa Magic;Adult;2016/03/06;09:09:00;Morning;01:30:00;Sun;Mar
2368365;Limpopo;male;coloured;27;ICC Cricket World Cup 2011;Adult;2016/03/30;13:17:00;Midday;02:08:12;Wed;Mar
1106115;Western Cape;female;black;26;Africa Magic;Adult;2016/01/11;18:06:00;Afternoon;01:36:25;Mon;Jan
1106115;Western Cape;female;black;26;Trace TV;Adult;2016/01/11;17:33:00;Afternoon;01:35:57;Mon;Jan
820387;Limpopo;male;black;15;SuperSport Blitz;Teenager;2016/01/27;15:54:00;Midday;01:42:08;Wed;Jan
820387;Limpopo;male;black;15;Cartoon Network;Teenager;2016/01/27;11:52:00;Morning;01:31:27;Wed;Jan
820387;Limpopo;male;black;15;Channel O;Teenager;2016/01/25;12:07:00;Midday;01:30:57;Mon;Jan
820387;Limpopo;male;black;15;SuperSport Blitz;Teenager;2016/01/26;21:30:00;Night;01:37:30;Tue;Jan
808984;Western Cape;male;coloured;42;kykNET;Adult;2016/02/19;17:58:00;Afternoon;01:31:57;Fri;Feb
778615;None;None;None;0;Channel O;Children;2016/03/12;17:45:00;Afternoon;01:33:45;Sat;Mar
939662;Mpumalanga;male;black;23;ICC Cricket World Cup 2011;Adult;2016/03/30;14:48:00;Midday;01:32:10;Wed;Mar
2359733;Gauteng;male;black;43;Channel O;Adult;2016/01/26;23:50:00;Night;01:38:33;Tue;Jan
866215;Kwazulu Natal;male;black;22;Trace TV;Adult;2016/03/07;18:00:00;Afternoon;01:34:03;Mon;Mar
803575;Eastern Cape;male;indian_asian;27;Supersport Live Events;Adult;2016/02/19;11:08:00;Morning;01:30:22;Fri;Feb
803575;Eastern Cape;male;indian_asian;27;Supersport Live Events;Adult;2016/01/31;11:46:00;Morning;01:57:16;Sun;Jan
803575;Eastern Cape;male;indian_asian;27;Supersport Live Events;Adult;2016/01/23;12:34:00;Midday;02:09:16;Sat;Jan
2090538;Gauteng;male;indian_asian;39;ICC Cricket World Cup 2011;Adult;2016/03/30;16:58:00;Afternoon;01:59:56;Wed;Mar
779471;Eastern Cape;male;black;28;Boomerang;Adult;2016/02/10;08:38:00;Morning;01:41:09;Wed;Feb
788744;Western Cape;male;coloured;23;SuperSport Blitz;Adult;2016/01/15;01:09:00;Morning;01:32:30;Fri;Jan
788744;Western Cape;male;coloured;23;Supersport Live Events;Adult;2016/01/18;11:35:00;Morning;01:30:52;Mon;Jan
2285664;Mpumalanga;male;indian_asian;28;SuperSport Blitz;Adult;2016/03/25;09:26:00;Morning;01:30:00;Fri;Mar
2285664;Mpumalanga;male;indian_asian;28;ICC Cricket World Cup 2011;Adult;2016/03/26;12:02:00;Midday;02:36:24;Sat;Mar
720398;Gauteng;female;coloured;28;DStv Events 1;Adult;2016/01/20;19:22:00;Afternoon;01:31:05;Wed;Jan
930094;Free State;male;other;26;ICC Cricket World Cup 2011;Adult;2016/03/29;12:17:00;Midday;01:31:24;Tue;Mar
930094;Free State;male;other;26;Trace TV;Adult;2016/03/29;17:32:00;Afternoon;01:31:00;Tue;Mar
789241;Northern Cape;male;coloured;25;Boomerang;Adult;2016/02/13;10:22:00;Morning;01:31:58;Sat;Feb
771927;Western Cape;female;None;36;Supersport Live Events;Adult;2016/01/31;11:08:00;Morning;01:48:14;Sun;Jan
771927;Western Cape;female;None;36;CNN;Adult;2016/01/29;18:32:00;Afternoon;01:30:58;Fri;Jan
771927;Western Cape;female;None;36;SuperSport Blitz;Adult;2016/01/28;15:00:00;Midday;01:47:14;Thu;Jan
771927;Western Cape;female;None;36;Supersport Live Events;Adult;2016/02/01;10:12:00;Morning;06:19:00;Mon;Feb
771927;Western Cape;female;None;36;Supersport Live Events;Adult;2016/01/27;16:14:00;Afternoon;01:31:18;Wed;Jan
771927;Western Cape;female;None;36;SuperSport Blitz;Adult;2016/01/27;07:55:00;Morning;01:32:26;Wed;Jan
771927;Western Cape;female;None;36;Cartoon Network;Adult;2016/01/30;18:39:00;Afternoon;01:31:38;Sat;Jan
904340;Gauteng;male;indian_asian;28;E! Entertainment;Adult;2016/03/27;19:38:00;Afternoon;01:30:42;Sun;Mar
904340;Gauteng;male;indian_asian;28;Vuzu;Adult;2016/03/27;19:45:00;Afternoon;01:30:22;Sun;Mar
904340;Gauteng;male;indian_asian;28;E! Entertainment;Adult;2016/03/26;23:29:00;Night;01:30:00;Sat;Mar
809079;Mpumalanga;male;black;30;Cartoon Network;Adult;2016/02/22;21:08:00;Night;01:30:08;Mon;Feb
809079;Mpumalanga;male;black;30;Africa Magic;Adult;2016/02/21;15:27:00;Midday;01:30:16;Sun;Feb
809079;Mpumalanga;male;black;30;Boomerang;Adult;2016/02/21;19:15:00;Afternoon;01:30:18;Sun;Feb
809079;Mpumalanga;male;black;30;SuperSport Blitz;Adult;2016/02/21;19:22:00;Afternoon;01:30:42;Sun;Feb
819358;Western Cape;male;white;39;Trace TV;Adult;2016/02/26;22:38:00;Night;01:30:45;Fri;Feb
819358;Western Cape;male;white;39;ICC Cricket World Cup 2011;Adult;2016/03/02;13:59:00;Midday;01:35:12;Wed;Mar
819358;Western Cape;male;white;39;Supersport Live Events;Adult;2016/03/19;18:24:00;Afternoon;01:33:20;Sat;Mar
242356;Gauteng;male;white;30;ICC Cricket World Cup 2011;Adult;2016/03/01;11:03:00;Morning;01:30:00;Tue;Mar
830921;Eastern Cape;male;white;22;Trace TV;Adult;2016/03/03;21:24:00;Night;01:31:15;Thu;Mar
866295;Gauteng;male;None;43;ICC Cricket World Cup 2011;Adult;2016/03/15;13:01:00;Midday;02:16:48;Tue;Mar
173765;None;None;None;0;Trace TV;Children;2016/01/08;09:29:00;Morning;01:31:03;Fri;Jan
764468;Gauteng;male;black;34;Channel O;Adult;2016/02/02;08:59:00;Morning;01:32:09;Tue;Feb
724179;Gauteng;female;black;21;Channel O;Adult;2016/01/20;20:49:00;Night;01:40:51;Wed;Jan
865440;Gauteng;male;indian_asian;31;Supersport Live Events;Adult;2016/03/14;10:35:00;Morning;01:51:28;Mon;Mar
865440;Gauteng;male;indian_asian;31;ICC Cricket World Cup 2011;Adult;2016/03/14;12:28:00;Midday;01:36:10;Mon;Mar
892643;Western Cape;male;coloured;28;Cartoon Network;Adult;2016/03/13;12:16:00;Midday;01:51:24;Sun;Mar
892643;Western Cape;male;coloured;28;SuperSport Blitz;Adult;2016/03/13;14:10:00;Midday;01:30:08;Sun;Mar
892643;Western Cape;male;coloured;28;Boomerang;Adult;2016/01/02;02:24:00;Morning;05:02:21;Sat;Jan
892643;Western Cape;male;coloured;28;Cartoon Network;Adult;2016/01/04;06:42:00;Morning;01:32:42;Mon;Jan
892643;Western Cape;male;coloured;28;Cartoon Network;Adult;2016/01/19;21:40:00;Night;01:34:12;Tue;Jan
771978;Kwazulu Natal;male;black;23;Boomerang;Adult;2016/02/05;05:06:00;Morning;01:30:31;Fri;Feb
820573;Gauteng;male;white;32;Boomerang;Adult;2016/02/26;19:06:00;Afternoon;01:30:20;Fri;Feb
820573;Gauteng;male;white;32;ICC Cricket World Cup 2011;Adult;2016/03/02;12:04:00;Midday;02:25:08;Wed;Mar
820573;Gauteng;male;white;32;SawSee;Adult;2016/02/28;21:16:00;Night;01:30:57;Sun;Feb
2420497;Western Cape;male;coloured;22;Trace TV;Adult;2016/01/10;21:58:00;Night;02:17:54;Sun;Jan
82389;None;None;None;0;DStv Events 1;Children;2016/01/08;13:33:00;Midday;01:39:30;Fri;Jan
809148;Limpopo;male;indian_asian;35;ICC Cricket World Cup 2011;Adult;2016/03/13;15:17:00;Midday;01:39:58;Sun;Mar
809148;Limpopo;male;indian_asian;35;Trace TV;Adult;2016/02/21;00:40:00;Morning;01:34:45;Sun;Feb
809148;Limpopo;male;indian_asian;35;ICC Cricket World Cup 2011;Adult;2016/02/27;12:40:00;Midday;02:13:22;Sat;Feb
2429528;Gauteng;male;None;30;E! Entertainment;Adult;2016/03/31;23:47:00;Night;01:30:58;Thu;Mar
2429528;Gauteng;male;None;30;Supersport Live Events;Adult;2016/03/30;07:51:00;Morning;01:31:16;Wed;Mar
2429528;Gauteng;male;None;30;ICC Cricket World Cup 2011;Adult;2016/03/30;07:51:00;Morning;01:30:22;Wed;Mar
2429528;Gauteng;male;None;30;SuperSport Blitz;Adult;2016/03/30;18:17:00;Afternoon;01:32:20;Wed;Mar
2429528;Gauteng;male;None;30;Boomerang;Adult;2016/03/30;12:30:00;Midday;01:30:25;Wed;Mar
2429528;Gauteng;male;None;30;Cartoon Network;Adult;2016/03/25;18:26:00;Afternoon;01:30:11;Fri;Mar
2429528;Gauteng;male;None;30;DStv Events 1;Adult;2016/03/25;15:51:00;Midday;01:30:30;Fri;Mar
2429528;Gauteng;male;None;30;Trace TV;Adult;2016/03/29;07:06:00;Morning;01:30:39;Tue;Mar
45769;None;None;None;0;ICC Cricket World Cup 2011;Children;2016/03/12;13:28:00;Midday;01:31:44;Sat;Mar
924896;Gauteng;male;indian_asian;25;ICC Cricket World Cup 2011;Adult;2016/03/30;12:23:00;Midday;02:31:38;Wed;Mar
894417;None;None;None;0;Trace TV;Children;2016/03/28;12:23:00;Midday;01:30:00;Mon;Mar
894417;None;None;None;0;E! Entertainment;Children;2016/03/24;07:48:00;Morning;01:31:02;Thu;Mar
772052;Western Cape;male;coloured;32;Supersport Live Events;Adult;2016/03/20;18:26:00;Afternoon;01:30:00;Sun;Mar
772052;Western Cape;male;coloured;32;Supersport Live Events;Adult;2016/03/26;16:38:00;Afternoon;02:15:32;Sat;Mar
898831;Gauteng;male;white;26;ICC Cricket World Cup 2011;Adult;2016/03/23;12:07:00;Midday;01:30:00;Wed;Mar
788922;Western Cape;male;coloured;52;ICC Cricket World Cup 2011;Adult;2016/03/05;18:03:00;Afternoon;01:30:52;Sat;Mar
788922;Western Cape;male;coloured;52;ICC Cricket World Cup 2011;Adult;2016/02/27;18:06:00;Afternoon;01:31:52;Sat;Feb
